title,price,release,link
Obelixes Tower Defense,₪36.95,"18 Jun, 2022",https://store.steampowered.com/app/2016140/Obelixes_Tower_Defense/?snr=1_7_7_151_150_2
Japanese Drag Racing (JDM) - ジェイディーエム,₪3.50,"11 Mar, 2021",https://store.steampowered.com/app/1531730/Japanese_Drag_Racing_JDM/?snr=1_7_7_151_150_2
The Last Hope,₪3.50,"29 Aug, 2016",https://store.steampowered.com/app/522570/The_Last_Hope/?snr=1_7_7_151_150_2
Put Your Brain On,₪169.95,"10 May, 2022",https://store.steampowered.com/app/1971730/Put_Your_Brain_On/?snr=1_7_7_151_150_2
Free Kick X,₪3.50,"19 Jan, 2021",https://store.steampowered.com/app/1485450/Free_Kick_X/?snr=1_7_7_151_150_2
Police Hot Pursuit,₪21.95,"2 Jan, 2022",https://store.steampowered.com/app/1851640/Police_Hot_Pursuit/?snr=1_7_7_151_150_2
Two Sedans Driving Simulator,₪36.95,"25 Mar, 2022",https://store.steampowered.com/app/1917720/Two_Sedans_Driving_Simulator/?snr=1_7_7_151_150_2
Waves Running Simulator,₪169.95,"7 Apr, 2022",https://store.steampowered.com/app/1926630/Waves_Running_Simulator/?snr=1_7_7_151_150_2
FootRock 2,none,"16 Jun, 2017",https://store.steampowered.com/app/576740/FootRock_2/?snr=1_7_7_151_150_2
Highway Traffic Racer,₪3.50,"5 Mar, 2021",https://store.steampowered.com/app/1531750/Highway_Traffic_Racer/?snr=1_7_7_151_150_2
Arena Drift Master,₪189.95,"9 Mar, 2022",https://store.steampowered.com/app/1906320/Arena_Drift_Master/?snr=1_7_7_151_150_2
Laser League: World Arena - New Motion Pack,₪7.25,"10 May, 2018",https://store.steampowered.com/app/770480/Laser_League_World_Arena__New_Motion_Pack/?snr=1_7_7_151_150_3
Need for Spirit: Off-Road Edition,₪169.95,"7 Mar, 2019",https://store.steampowered.com/app/1015470/Need_for_Spirit_OffRoad_Edition/?snr=1_7_7_151_150_3
Dino Zoo Transport Simulator,₪43.95,"23 Sep, 2019",https://store.steampowered.com/app/1155420/Dino_Zoo_Transport_Simulator/?snr=1_7_7_151_150_3
Space Tower Defense,₪3.50,"9 Sep, 2021",https://store.steampowered.com/app/1724020/Space_Tower_Defense/?snr=1_7_7_151_150_3
Freestyle Football 3 - Nosetu Inc Games,Free To Play,"26 Mar, 2020",https://store.steampowered.com/app/1255970/Freestyle_Football_3__Nosetu_Inc_Games/?snr=1_7_7_151_150_3
USA Truck Simulator,₪18.50,"25 Mar, 2021",https://store.steampowered.com/app/1568180/USA_Truck_Simulator/?snr=1_7_7_151_150_3
The Zombie Smasher,₪36.95,"18 Jan, 2022",https://store.steampowered.com/app/1859590/The_Zombie_Smasher/?snr=1_7_7_151_150_3
The Last Hope: Atomic Bomb - Crypto War,₪169.95,"6 Apr, 2018",https://store.steampowered.com/app/801320/The_Last_Hope_Atomic_Bomb__Crypto_War/?snr=1_7_7_151_150_3
Finger Football,₪3.50,"17 Feb, 2022",https://store.steampowered.com/app/1871290/Finger_Football/?snr=1_7_7_151_150_3
Super Arcade Football,₪47.95,"6 Sep, 2021",https://store.steampowered.com/app/420550/Super_Arcade_Football/?snr=1_7_7_151_150_3
FootRock,none,"14 Oct, 2016",https://store.steampowered.com/app/497100/FootRock/?snr=1_7_7_151_150_3
Zombies Killer Machine,₪189.95,"6 Jan, 2022",https://store.steampowered.com/app/1850690/Zombies_Killer_Machine/?snr=1_7_7_151_150_3
Furious Goal,₪18.50,"23 Sep, 2019",https://store.steampowered.com/app/1151400/Furious_Goal/?snr=1_7_7_151_150_3
Director of Football,₪36.95,"20 Sep, 2018",https://store.steampowered.com/app/844900/Director_of_Football/?snr=1_7_7_151_150_3
Space Hero Line,₪189.95,"24 Aug, 2017",https://store.steampowered.com/app/655120/Space_Hero_Line/?snr=1_7_7_151_150_3
Stadium Renovator,none,"TBA, Discount at launch",https://store.steampowered.com/app/948880/Stadium_Renovator/?snr=1_7_7_151_150_3
Super Spyroxo Adventures: Island of Dnfoo,none,TBA,https://store.steampowered.com/app/2089750/Super_Spyroxo_Adventures_Island_of_Dnfoo/?snr=1_7_7_151_150_3
Stadium Renovator: First Touch,Free,To be announced,https://store.steampowered.com/app/1907350/Stadium_Renovator_First_Touch/?snr=1_7_7_151_150_3
编年史OL,Free To Play,Coming soon,https://store.steampowered.com/app/2167640/OL/?snr=1_7_7_151_150_3
SHOOTER LEAGUE - ROBOT GOAL,none,To be announced,https://store.steampowered.com/app/1973560/SHOOTER_LEAGUE__ROBOT_GOAL/?snr=1_7_7_151_150_3
Soccer Clubs,Free To Play,"19 Dec, 2022",https://store.steampowered.com/app/2187660/Soccer_Clubs/?snr=1_7_7_151_150_3
FootRock2 VR  VR Only,none,Coming soon,https://store.steampowered.com/app/624960/FootRock2_VR/?snr=1_7_7_151_150_3
Super Streaker Plus,₪7.25,"31 Aug, 2018",https://store.steampowered.com/app/911240/Super_Streaker_Plus/?snr=1_7_7_151_150_3
Game of Drones  VR Supported,₪14.50,"6 May, 2020",https://store.steampowered.com/app/811940/Game_of_Drones/?snr=1_7_7_151_150_3
足球梦之队,Free,"28 Sep, 2022",https://store.steampowered.com/app/1332460/_/?snr=1_7_7_151_150_3
Fimbul Winter,₪3.50,"6 May, 2021",https://store.steampowered.com/app/1605590/Fimbul_Winter/?snr=1_7_7_151_150_4
Police Radar,₪3.50,"2 Sep, 2022",https://store.steampowered.com/app/2109610/Police_Radar/?snr=1_7_7_151_150_4
"Bro, where's My head???",₪7.25,"25 Mar, 2021",https://store.steampowered.com/app/1564760/Bro_wheres_My_head/?snr=1_7_7_151_150_4
Jigsaw Puzzle - Expansion Pack 8,₪7.25,"30 Oct, 2019",https://store.steampowered.com/app/1185650/Jigsaw_Puzzle__Expansion_Pack_8/?snr=1_7_7_151_150_4
WFO World Football Online,₪55.95,"12 Sep, 2022",https://store.steampowered.com/app/1964760/WFO_World_Football_Online/?snr=1_7_7_151_150_4
FootPool,₪18.50,"25 Sep, 2022",https://store.steampowered.com/app/2092710/FootPool/?snr=1_7_7_151_150_4
Beam Car Crash Derby,₪3.50,"17 Mar, 2021",https://store.steampowered.com/app/1555880/Beam_Car_Crash_Derby/?snr=1_7_7_151_150_4
Fimbul Winter VR  VR Supported,₪3.50,"3 Jun, 2021",https://store.steampowered.com/app/1631950/Fimbul_Winter_VR/?snr=1_7_7_151_150_4
Join Rush Attack / 加入突袭,₪7.25,"6 Oct, 2021",https://store.steampowered.com/app/1766270/Join_Rush_Attack/?snr=1_7_7_151_150_4
Office Strike War - Multiplayer Battle Royale,₪10.95,"2 Sep, 2021",https://store.steampowered.com/app/1721050/Office_Strike_War__Multiplayer_Battle_Royale/?snr=1_7_7_151_150_4
FirePuzzle - Save the House,₪7.25,"19 Nov, 2021",https://store.steampowered.com/app/1806460/FirePuzzle__Save_the_House/?snr=1_7_7_151_150_4
Soccer Simulation,₪18.50,"29 Nov, 2017",https://store.steampowered.com/app/719970/Soccer_Simulation/?snr=1_7_7_151_150_4
Puppy - Classic Jigsaw Puzzles,₪7.25,"4 Jul, 2019",https://store.steampowered.com/app/1114450/Puppy__Classic_Jigsaw_Puzzles/?snr=1_7_7_151_150_4
Kungfu Football Captain,₪10.95,"27 Sep, 2021",https://store.steampowered.com/app/1672680/Kungfu_Football_Captain/?snr=1_7_7_151_150_4
Jigsaw Puzzle - Expansion Pack 3,₪7.25,"17 Sep, 2019",https://store.steampowered.com/app/1160170/Jigsaw_Puzzle__Expansion_Pack_3/?snr=1_7_7_151_150_4
Jigsaw Puzzle - Expansion Pack 2,₪7.25,"13 Sep, 2019",https://store.steampowered.com/app/1158930/Jigsaw_Puzzle__Expansion_Pack_2/?snr=1_7_7_151_150_4
Jigsaw Puzzle - Expansion Pack 6,₪7.25,"29 Oct, 2019",https://store.steampowered.com/app/1184920/Jigsaw_Puzzle__Expansion_Pack_6/?snr=1_7_7_151_150_4
Jigsaw Puzzle - Expansion Pack 7,₪7.25,"29 Oct, 2019",https://store.steampowered.com/app/1185210/Jigsaw_Puzzle__Expansion_Pack_7/?snr=1_7_7_151_150_4
Jigsaw Puzzle - Expansion Pack 4,₪7.25,"18 Sep, 2019",https://store.steampowered.com/app/1160960/Jigsaw_Puzzle__Expansion_Pack_4/?snr=1_7_7_151_150_4
Jigsaw Puzzle - Expansion Pack 10,₪7.25,"31 Oct, 2019",https://store.steampowered.com/app/1187160/Jigsaw_Puzzle__Expansion_Pack_10/?snr=1_7_7_151_150_4
Jigsaw Puzzle - Expansion Pack 9,₪7.25,"30 Oct, 2019",https://store.steampowered.com/app/1186420/Jigsaw_Puzzle__Expansion_Pack_9/?snr=1_7_7_151_150_4
Jigsaw Puzzle - Expansion Pack 5,₪7.25,"19 Sep, 2019",https://store.steampowered.com/app/1162260/Jigsaw_Puzzle__Expansion_Pack_5/?snr=1_7_7_151_150_4
Fantasy Memory Card Game - Expansion Pack 2,₪3.50,"13 Mar, 2020",https://store.steampowered.com/app/1259900/Fantasy_Memory_Card_Game__Expansion_Pack_2/?snr=1_7_7_151_150_4
Laser League: World Arena - Tu Lou Pack,₪18.50,"8 Dec, 2021",https://store.steampowered.com/app/1818920/Laser_League_World_Arena__Tu_Lou_Pack/?snr=1_7_7_151_150_4
FootRock 2 Demo,Free Demo,"22 Jun, 2017",https://store.steampowered.com/app/576740/FootRock_2/?snr=1_7_7_151_150_4
Mahjong Dimensions 3D - Fantasy Avatar One,₪3.50,"1 Oct, 2019",https://store.steampowered.com/app/1169090/Mahjong_Dimensions_3D__Fantasy_Avatar_One/?snr=1_7_7_151_150_5
Mahjong Dimensions 3D - Monster Avatar Two,₪3.50,"24 Sep, 2019",https://store.steampowered.com/app/1164780/Mahjong_Dimensions_3D__Monster_Avatar_Two/?snr=1_7_7_151_150_5
Mahjong Dimensions 3D - Monster Avatar Three,₪3.50,"24 Sep, 2019",https://store.steampowered.com/app/1165030/Mahjong_Dimensions_3D__Monster_Avatar_Three/?snr=1_7_7_151_150_5
Mahjong Dimensions 3D - Fantasy Avatar Two,₪3.50,"3 Oct, 2019",https://store.steampowered.com/app/1171680/Mahjong_Dimensions_3D__Fantasy_Avatar_Two/?snr=1_7_7_151_150_5
Mahjong Dimensions 3D - Pets,₪3.50,"8 Oct, 2019",https://store.steampowered.com/app/1173080/Mahjong_Dimensions_3D__Pets/?snr=1_7_7_151_150_5
Mahjong Dimensions 3D - Strategy One,₪3.50,"20 Oct, 2019",https://store.steampowered.com/app/1177900/Mahjong_Dimensions_3D__Strategy_One/?snr=1_7_7_151_150_5
Mahjong Dimensions 3D - Warrior Avatar One,₪3.50,"20 Sep, 2019",https://store.steampowered.com/app/1163310/Mahjong_Dimensions_3D__Warrior_Avatar_One/?snr=1_7_7_151_150_5
Mahjong Dimensions 3D - Warrior Avatar Two,₪3.50,"21 Sep, 2019",https://store.steampowered.com/app/1163650/Mahjong_Dimensions_3D__Warrior_Avatar_Two/?snr=1_7_7_151_150_5
Mahjong Dimensions 3D - Monster Avatar One,₪3.50,"24 Sep, 2019",https://store.steampowered.com/app/1164400/Mahjong_Dimensions_3D__Monster_Avatar_One/?snr=1_7_7_151_150_5
Memory Card Monsters - Expanded Content 1,₪3.50,"15 Sep, 2020",https://store.steampowered.com/app/1412140/Memory_Card_Monsters__Expanded_Content_1/?snr=1_7_7_151_150_5
Serious Fun Football Demo,Free Demo,"27 Apr, 2022",https://store.steampowered.com/app/1392560/Serious_Fun_Football/?snr=1_7_7_151_150_5
